(n, m) = (5, 800)     | (i, j) = (2, 2) | D = 0.08638
(n, m) = (5, 800)     | (i, j) = (2, 3) | D = 0.07802
(n, m) = (5, 800)     | (i, j) = (2, 4) | D = 0.1031
(n, m) = (5, 800)     | (i, j) = (3, 0) | D = 0.33158
(n, m) = (5, 800)     | (i, j) = (3, 1) | D = 0.37616
(n, m) = (5, 800)     | (i, j) = (3, 2) | D = 0.35944
(n, m) = (5, 800)     | (i, j) = (3, 3) | D = 0.3678
(n, m) = (5, 800)     | (i, j) = (3, 4) | D = 0.34273
(n, m) = (5, 800)     | (i, j) = (4, 0) | D = 0.11424
(n, m) = (5, 800)     | (i, j) = (4, 1) | D = 0.06966
(n, m) = (5, 800)     | (i, j) = (4, 2) | D = 0.08638
(n, m) = (5, 800)     | (i, j) = (4, 3) | D = 0.07802
(n, m) = (5, 800)     | (i, j) = (4, 4) | D = 0.1031
(n, m) = (5, 1000)    | (i, j) = (0, 0) | D = 0.11152
(n, m) = (5, 1000)    | (i, j) = (0, 1) | D = 0.06022
(n, m) = (5, 1000)    | (i, j) = (0, 2) | D = 0.09814
(n, m) = (5, 1000)    | (i, j) = (0, 3) | D = 0.09145
(n, m) = (5, 1000)    | (i, j) = (0, 4) | D = 0.06468
(n, m) = (5, 1000)    | (i, j) = (1, 0) | D = 0.33457
(n, m) = (5, 1000)    | (i, j) = (1, 1) | D = 0.38588
(n, m) = (5, 1000)    | (i, j) = (1, 2) | D = 0.34796
(n, m) = (5, 1000)    | (i, j) = (1, 3) | D = 0.35465
(n, m) = (5, 1000)    | (i, j) = (1, 4) | D = 0.38142
(n, m) = (5, 1000)    | (i, j) = (2, 0) | D = 0.11152
(n, m) = (5, 1000)    | (i, j) = (2, 1) | D = 0.06022
(n, m) = (5, 1000)    | (i, j) = (2, 2) | D = 0.09814
(n, m) = (5, 1000)    | (i, j) = (2, 3) | D = 0.09145
(n, m) = (5, 1000)    | (i, j) = (2, 4) | D = 0.06468
(n, m) = (5, 1000)    | (i, j) = (3, 0) | D = 0.33457
(n, m) = (5, 1000)    | (i, j) = (3, 1) | D = 0.38588
(n, m) = (5, 1000)    | (i, j) = (3, 2) | D = 0.34796
(n, m) = (5, 1000)    | (i, j) = (3, 3) | D = 0.35465
(n, m) = (5, 1000)    | (i, j) = (3, 4) | D = 0.38142
(n, m) = (5, 1000)    | (i, j) = (4, 0) | D = 0.11152
(n, m) = (5, 1000)    | (i, j) = (4, 1) | D = 0.06022
(n, m) = (5, 1000)    | (i, j) = (4, 2) | D = 0.09814
(n, m) = (5, 1000)    | (i, j) = (4, 3) | D = 0.09145
(n, m) = (5, 1000)    | (i, j) = (4, 4) | D = 0.06468
(n, m) = (10, 5)      | (i, j) = (0, 0) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (0, 1) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (0, 2) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (0, 3) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (0, 4) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (1, 0) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (1, 1) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (1, 2) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (1, 3) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (1, 4) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (2, 0) | D = 0.0
(n, m) = (10, 5)      | (i, j) = (2, 1) | D = 0.36515
(n, m) = (10, 5)      | (i, j) = (2, 2) | D = 0.0
(n, m) = (10, 5)      | (i, j) = (2, 3) | D = 0.36515
(n, m) = (10, 5)      | (i, j) = (2, 4) | D = 0.0
(n, m) = (10, 5)      | (i, j) = (3, 0) | D = 0.0
(n, m) = (10, 5)      | (i, j) = (3, 1) | D = 0.36515
(n, m) = (10, 5)      | (i, j) = (3, 2) | D = 0.0
(n, m) = (10, 5)      | (i, j) = (3, 3) | D = 0.36515
(n, m) = (10, 5)      | (i, j) = (3, 4) | D = 0.0
(n, m) = (10, 5)      | (i, j) = (4, 0) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (4, 1) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (4, 2) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (4, 3) | D = 0.18257
(n, m) = (10, 5)      | (i, j) = (4, 4) | D = 0.18257
(n, m) = (10, 10)     | (i, j) = (0, 0) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (0, 1) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (0, 2) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (0, 3) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (0, 4) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (1, 0) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (1, 1) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (1, 2) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (1, 3) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (1, 4) | D = 0.0
(n, m) = (10, 10)     | (i, j) = (2, 0) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (2, 1) | D = 0.22361
(n, m) = (10, 10)     | (i, j) = (2, 2) | D = 0.0
