(n, m) = (10, 100)    | D = 0.00862
(n, m) = (10, 200)    | D = 0.01384
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00852
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 200)    | D = 0.01384
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00852
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 200)    | D = 0.00745
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 200)    | D = 0.01278
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00745
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 200)    | D = 0.01278
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.01384
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00958
(n, m) = (10, 200)    | D = 0.00852
(n, m) = (10, 200)    | D = 0.01171
(n, m) = (10, 400)    | D = 0.00848
(n, m) = (10, 400)    | D = 0.00656
(n, m) = (10, 400)    | D = 0.00964
(n, m) = (10, 400)    | D = 0.01157
(n, m) = (10, 400)    | D = 0.01118
(n, m) = (10, 400)    | D = 0.00848
(n, m) = (10, 400)    | D = 0.00656
(n, m) = (10, 400)    | D = 0.00964
(n, m) = (10, 400)    | D = 0.01157
(n, m) = (10, 400)    | D = 0.01118
(n, m) = (10, 400)    | D = 0.00694
(n, m) = (10, 400)    | D = 0.00887
(n, m) = (10, 400)    | D = 0.00578
(n, m) = (10, 400)    | D = 0.00386
(n, m) = (10, 400)    | D = 0.00424
(n, m) = (10, 400)    | D = 0.00694
(n, m) = (10, 400)    | D = 0.00887
(n, m) = (10, 400)    | D = 0.00578
(n, m) = (10, 400)    | D = 0.00386
(n, m) = (10, 400)    | D = 0.00424
(n, m) = (10, 400)    | D = 0.00848
(n, m) = (10, 400)    | D = 0.00656
(n, m) = (10, 400)    | D = 0.00964
(n, m) = (10, 400)    | D = 0.01157
(n, m) = (10, 400)    | D = 0.01118
(n, m) = (10, 600)    | D = 0.00656
(n, m) = (10, 600)    | D = 0.00698
(n, m) = (10, 600)    | D = 0.00931
(n, m) = (10, 600)    | D = 0.00741
(n, m) = (10, 600)    | D = 0.00762
(n, m) = (10, 600)    | D = 0.00656
(n, m) = (10, 600)    | D = 0.00698
(n, m) = (10, 600)    | D = 0.00931
(n, m) = (10, 600)    | D = 0.00741
(n, m) = (10, 600)    | D = 0.00762
(n, m) = (10, 600)    | D = 0.00614
(n, m) = (10, 600)    | D = 0.00571
(n, m) = (10, 600)    | D = 0.00339
(n, m) = (10, 600)    | D = 0.00529
(n, m) = (10, 600)    | D = 0.00508
(n, m) = (10, 600)    | D = 0.00614
(n, m) = (10, 600)    | D = 0.00571
(n, m) = (10, 600)    | D = 0.00339
(n, m) = (10, 600)    | D = 0.00529
(n, m) = (10, 600)    | D = 0.00508
(n, m) = (10, 600)    | D = 0.00656
(n, m) = (10, 600)    | D = 0.00698
(n, m) = (10, 600)    | D = 0.00931
(n, m) = (10, 600)    | D = 0.00741
(n, m) = (10, 600)    | D = 0.00762
(n, m) = (10, 800)    | D = 0.00538
(n, m) = (10, 800)    | D = 0.00759
(n, m) = (10, 800)    | D = 0.00676
(n, m) = (10, 800)    | D = 0.00718
(n, m) = (10, 800)    | D = 0.00594
(n, m) = (10, 800)    | D = 0.00538
(n, m) = (10, 800)    | D = 0.00759
(n, m) = (10, 800)    | D = 0.00676
(n, m) = (10, 800)    | D = 0.00718
(n, m) = (10, 800)    | D = 0.00594
(n, m) = (10, 800)    | D = 0.00566
(n, m) = (10, 800)    | D = 0.00345
(n, m) = (10, 800)    | D = 0.00428
(n, m) = (10, 800)    | D = 0.00386
(n, m) = (10, 800)    | D = 0.00511
(n, m) = (10, 800)    | D = 0.00566
(n, m) = (10, 800)    | D = 0.00345
(n, m) = (10, 800)    | D = 0.00428
(n, m) = (10, 800)    | D = 0.00386
(n, m) = (10, 800)    | D = 0.00511
(n, m) = (10, 800)    | D = 0.00538
(n, m) = (10, 800)    | D = 0.00759
(n, m) = (10, 800)    | D = 0.00676
(n, m) = (10, 800)    | D = 0.00718
(n, m) = (10, 800)    | D = 0.00594
(n, m) = (10, 1000)   | D = 0.00495
(n, m) = (10, 1000)   | D = 0.00723
(n, m) = (10, 1000)   | D = 0.00554
(n, m) = (10, 1000)   | D = 0.00584
(n, m) = (10, 1000)   | D = 0.00703
(n, m) = (10, 1000)   | D = 0.00495
(n, m) = (10, 1000)   | D = 0.00723
(n, m) = (10, 1000)   | D = 0.00554
(n, m) = (10, 1000)   | D = 0.00584
(n, m) = (10, 1000)   | D = 0.00703
(n, m) = (10, 1000)   | D = 0.00495
(n, m) = (10, 1000)   | D = 0.00267
(n, m) = (10, 1000)   | D = 0.00436
(n, m) = (10, 1000)   | D = 0.00406
(n, m) = (10, 1000)   | D = 0.00287
(n, m) = (10, 1000)   | D = 0.00495
(n, m) = (10, 1000)   | D = 0.00267
(n, m) = (10, 1000)   | D = 0.00436
(n, m) = (10, 1000)   | D = 0.00406
(n, m) = (10, 1000)   | D = 0.00287
(n, m) = (10, 1000)   | D = 0.00495
(n, m) = (10, 1000)   | D = 0.00723
(n, m) = (10, 1000)   | D = 0.00554
(n, m) = (10, 1000)   | D = 0.00584
(n, m) = (10, 1000)   | D = 0.00703
(n, m) = (100, 5)     | D = 0.00852
(n, m) = (100, 5)     | D = 0.03407
(n, m) = (100, 5)     | D = 0.00852
(n, m) = (100, 5)     | D = 0.03407
(n, m) = (100, 5)     | D = 0.00852
(n, m) = (100, 5)     | D = 0.00639
(n, m) = (100, 5)     | D = 0.0362
(n, m) = (100, 5)     | D = 0.00639
(n, m) = (100, 5)     | D = 0.0362
(n, m) = (100, 5)     | D = 0.00639
(n, m) = (100, 5)     | D = 0.01278
(n, m) = (100, 5)     | D = 0.02981
(n, m) = (100, 5)     | D = 0.01278
(n, m) = (100, 5)     | D = 0.02981
(n, m) = (100, 5)     | D = 0.01278
(n, m) = (100, 5)     | D = 0.01065
(n, m) = (100, 5)     | D = 0.03194
(n, m) = (100, 5)     | D = 0.01065
(n, m) = (100, 5)     | D = 0.03194
(n, m) = (100, 5)     | D = 0.01065
(n, m) = (100, 5)     | D = 0.01491
(n, m) = (100, 5)     | D = 0.02768
(n, m) = (100, 5)     | D = 0.01491
(n, m) = (100, 5)     | D = 0.02768
(n, m) = (100, 5)     | D = 0.01491
(n, m) = (100, 10)    | D = 0.01725
(n, m) = (100, 10)    | D = 0.01725
(n, m) = (100, 10)    | D = 0.0115
(n, m) = (100, 10)    | D = 0.0115
(n, m) = (100, 10)    | D = 0.01725
(n, m) = (100, 10)    | D = 0.02012
(n, m) = (100, 10)    | D = 0.02012
(n, m) = (100, 10)    | D = 0.00862
(n, m) = (100, 10)    | D = 0.00862
(n, m) = (100, 10)    | D = 0.02012
(n, m) = (100, 10)    | D = 0.0115
(n, m) = (100, 10)    | D = 0.0115
(n, m) = (100, 10)    | D = 0.01725
(n, m) = (100, 10)    | D = 0.01725
(n, m) = (100, 10)    | D = 0.0115
(n, m) = (100, 10)    | D = 0.01437
(n, m) = (100, 10)    | D = 0.01437
(n, m) = (100, 10)    | D = 0.01437
(n, m) = (100, 10)    | D = 0.01437
(n, m) = (100, 10)    | D = 0.01437
(n, m) = (100, 10)    | D = 0.00862
(n, m) = (100, 10)    | D = 0.00862
(n, m) = (100, 10)    | D = 0.02012
(n, m) = (100, 10)    | D = 0.02012
(n, m) = (100, 10)    | D = 0.00862
(n, m) = (100, 100)   | D = 0.0
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.01
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.015
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.0
(n, m) = (100, 100)   | D = 0.015
(n, m) = (100, 100)   | D = 0.01
(n, m) = (100, 100)   | D = 0.02
(n, m) = (100, 100)   | D = 0.01
(n, m) = (100, 100)   | D = 0.015
(n, m) = (100, 100)   | D = 0.0
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.01
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.0
(n, m) = (100, 100)   | D = 0.01
(n, m) = (100, 100)   | D = 0.015
(n, m) = (100, 100)   | D = 0.02
(n, m) = (100, 100)   | D = 0.005
(n, m) = (100, 100)   | D = 0.01
(n, m) = (100, 100)   | D = 0.0
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.00943
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.01179
(n, m) = (100, 200)   | D = 0.01179
(n, m) = (100, 200)   | D = 0.01414
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.01179
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.00471
(n, m) = (100, 200)   | D = 0.00236
(n, m) = (100, 200)   | D = 0.0165
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.00707
(n, m) = (100, 200)   | D = 0.00471
(n, m) = (100, 200)   | D = 0.01179
(n, m) = (100, 400)   | D = 0.002
(n, m) = (100, 400)   | D = 0.007
(n, m) = (100, 400)   | D = 0.001
(n, m) = (100, 400)   | D = 0.006
(n, m) = (100, 400)   | D = 0.005
(n, m) = (100, 400)   | D = 0.006
(n, m) = (100, 400)   | D = 0.011
(n, m) = (100, 400)   | D = 0.003
(n, m) = (100, 400)   | D = 0.002
(n, m) = (100, 400)   | D = 0.001
(n, m) = (100, 400)   | D = 0.006
(n, m) = (100, 400)   | D = 0.002
(n, m) = (100, 400)   | D = 0.009
(n, m) = (100, 400)   | D = 0.014
(n, m) = (100, 400)   | D = 0.013
(n, m) = (100, 400)   | D = 0.002
(n, m) = (100, 400)   | D = 0.003
(n, m) = (100, 400)   | D = 0.005
(n, m) = (100, 400)   | D = 0.01
(n, m) = (100, 400)   | D = 0.009
(n, m) = (100, 400)   | D = 0.01
(n, m) = (100, 400)   | D = 0.005
(n, m) = (100, 400)   | D = 0.013
(n, m) = (100, 400)   | D = 0.018
(n, m) = (100, 400)   | D = 0.017
(n, m) = (100, 600)   | D = 0.00292
(n, m) = (100, 600)   | D = 0.00175
(n, m) = (100, 600)   | D = 0.00467
(n, m) = (100, 600)   | D = 0.00117
(n, m) = (100, 600)   | D = 0.0
(n, m) = (100, 600)   | D = 0.00642
(n, m) = (100, 600)   | D = 0.00525
(n, m) = (100, 600)   | D = 0.00117
(n, m) = (100, 600)   | D = 0.00408
